Year,sh_thompson_spawner_count,sh_thompson_p4,sh_thompson_p5,sh_thompson_p6,sh_thompson_p7,sh_thompson_p8,sh_thompson_spawners,sh_thompson_recruits,sh_thompson_lnrs,sh_thompson_SL,sh_thompson_SST,sh_thompson_NPGO,sh_thompson_FN_mortalities,sh_thompson_sport_mortalities,sh_thompson_U_bycatch,sh_thompson_prefishery_N,sh_chilcotin_spawner_count,sh_chilcotin_p4,sh_chilcotin_p5,sh_chilcotin_p6,sh_chilcotin_p7,sh_chilcotin_p8,sh_chilcotin_spawners,sh_chilcotin_recruits,sh_chilcotin_lnrs,sh_chilcotin_SL,sh_chilcotin_SST,sh_chilcotin_NPGO,sh_chilcotin_PDO,sh_chilcotin_FN_mortalities,sh_chilcotin_sport_mortalities,sh_chilcotin_U_bycatch,sh_chilcotin_prefishery_N
1951,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1952,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1953,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1954,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1955,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1956,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1957,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1958,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1959,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1960,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1961,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1962,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1963,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1964,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1965,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1966,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1967,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1968,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1969,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1970,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1971,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,,,,
1972,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,,,,,,,,50,201.7521897,0.42305019,2100.27314
1973,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,1435.2,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.4352,1.855,0.256580484,-1.004736098,-0.454368592,0.850584388,0.650532417,50,158.8995738,0.42305019,2849.640548
1974,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,676.8,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.6768,1.596,0.85787997,-0.981137197,-0.667688084,0.411980335,-0.296143718,50,533.0373101,0.42305019,2183.61682
1975,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,580.8,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.5808,1.398,0.878391459,-0.956614256,0.677918395,-0.826058735,0.63491714,50,277.9935681,0.42305019,1575.169195
1976,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,1022.4,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.0224,1.773,0.550520222,-0.931123468,-0.187661961,-0.309681592,1.171692268,50,179.1755693,0.42305019,2169.297133
1977,,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,,,,,,,,,,,494.4,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.4944,2.486,1.615085366,-0.904618196,-0.104851871,0.062001431,0.396784175,50,486.7778126,0.42305019,1787.292056
1978,1666,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.666,6.753,1.399561307,-0.904618196,-0.187661961,0.062001431,50,746.5940368,0.42305019,4268.298546,1152,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.152,2.783,0.88202992,-0.877048729,-1.039633879,-1.016874106,0.783262267,50,364.7659686,0.42305019,2715.601843
1979,1666,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.666,2.908,0.557040016,-0.877048729,-0.104851871,-1.016874106,50,580.5568996,0.42305019,3980.514177,715,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.715,4.549,1.850380165,-0.848362017,-0.09294143,-0.791693881,1.653813929,50,141.5978508,0.42305019,1571.710112
1980,952,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,0.952,10.539,2.404272906,-0.848362017,-1.039633879,-0.791693881,50,1008.365828,0.42305019,3484.472639,893,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.893,4.185,1.544675402,-0.818501369,-0.615053553,0.769193945,0.660291965,50,21.30948833,0.42305019,1671.04568
1981,1247,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.247,4.664,1.319132782,-0.818501369,-0.09294143,0.769193945,50,660.8248448,0.42305019,3393.405821,586,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.586,4.057,1.934879274,-0.787406128,-0.362332045,0.022210548,1.019443323,50,48.83086255,0.42305019,1186.291858
1982,1190,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,1.19,3.005,0.926324261,-0.787406128,-0.615053553,0.022210548,50,959.4125418,0.42305019,3812.138426,936,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,0.936,3.767,1.392418731,-0.755011316,-0.303711928,-0.569226671,1.761168954,50,20.0710644,0.42305019,1743.775709
1983,2857,0.035750695,0.835875811,0.119569045,0.008341057,0.000463392,2.857,3.834,0.294136521,-0.755011316,-0.362332045,-0.569226671,50,1031.673431,0.42305019,6826.717611,1531,0.007614213,0.295121697,0.606023689,0.08870233,0.002538071,1.531,1.912,0.222228698,-0.72124723,-1.01149843,0.128922461,0.861338649,50,22.54691871,0.42305019,2779.699187
